Category: All categories

Day,Coronavirus: (Seoul)
2020-01-21,1
2020-01-22,2
2020-01-23,5
2020-01-24,7
2020-01-25,12
2020-01-26,12
2020-01-27,20
2020-01-28,22
2020-01-29,18
2020-01-30,18
2020-01-31,28
2020-02-01,20
2020-02-02,25
2020-02-03,20
2020-02-04,16
2020-02-05,21
2020-02-06,19
2020-02-07,20
2020-02-08,18
2020-02-09,15
2020-02-10,13
2020-02-11,13
2020-02-12,8
2020-02-13,11
2020-02-14,9
2020-02-15,10
2020-02-16,7
2020-02-17,10
2020-02-18,15
2020-02-19,20
2020-02-20,37
2020-02-21,49
2020-02-22,59
2020-02-23,71
2020-02-24,62
2020-02-25,58
2020-02-26,52
2020-02-27,49
2020-02-28,40
2020-02-29,38
2020-03-01,38
2020-03-02,32
2020-03-03,31
2020-03-04,32
2020-03-05,29
2020-03-06,27
2020-03-07,30
2020-03-08,30
2020-03-09,26
2020-03-10,27
2020-03-11,33
2020-03-12,32
2020-03-13,35
2020-03-14,31
2020-03-15,32
2020-03-16,30
2020-03-17,28
2020-03-18,29
2020-03-19,28
2020-03-20,25
2020-03-21,28
2020-03-22,34
2020-03-23,26
2020-03-24,28
2020-03-25,26
2020-03-26,28
2020-03-27,28
2020-03-28,32
2020-03-29,32
2020-03-30,32
2020-03-31,27
2020-04-01,26
2020-04-02,24
2020-04-03,44
2020-04-04,100
2020-04-05,78
2020-04-06,33
2020-04-07,38
2020-04-08,85
2020-04-09,82
2020-04-10,73
2020-04-11,31
2020-04-12,42
2020-04-13,79
2020-04-14,62
2020-04-15,42
2020-04-16,75
2020-04-17,63
2020-04-18,30
2020-04-19,46
2020-04-20,71
2020-04-21,59
2020-04-22,21
2020-04-23,20
2020-04-24,21
2020-04-25,17
2020-04-26,20
2020-04-27,17
2020-04-28,16
2020-04-29,17
2020-04-30,16
2020-05-01,19
2020-05-02,16
2020-05-03,20
2020-05-04,16
2020-05-05,17
2020-05-06,13
2020-05-07,13
2020-05-08,18
2020-05-09,20
2020-05-10,19
2020-05-11,21
2020-05-12,16
2020-05-13,20
2020-05-14,17
2020-05-15,15
2020-05-16,15
2020-05-17,15
2020-05-18,15
2020-05-19,13
2020-05-20,11
2020-05-21,13
2020-05-22,11
2020-05-23,12
2020-05-24,11
2020-05-25,11
2020-05-26,12
2020-05-27,13
2020-05-28,16
2020-05-29,16
2020-05-30,11
2020-05-31,14
2020-06-01,15
2020-06-02,11
2020-06-03,9
2020-06-04,12
2020-06-05,9
2020-06-06,14
2020-06-07,12
2020-06-08,13
2020-06-09,11
2020-06-10,13
2020-06-11,9
2020-06-12,12
2020-06-13,11
2020-06-14,12
2020-06-15,11
2020-06-16,8
2020-06-17,10
2020-06-18,10
2020-06-19,11
2020-06-20,10
2020-06-21,12
2020-06-22,12
2020-06-23,10
2020-06-24,12
2020-06-25,9
2020-06-26,9
2020-06-27,13
2020-06-28,12
2020-06-29,13
2020-06-30,9
2020-07-01,10
2020-07-02,11
2020-07-03,12
2020-07-04,11
2020-07-05,14
2020-07-06,12
2020-07-07,9
2020-07-08,9
2020-07-09,12
2020-07-10,8
2020-07-11,8
2020-07-12,8
2020-07-13,10
2020-07-14,9
2020-07-15,8
2020-07-16,7
2020-07-17,10
2020-07-18,8
2020-07-19,9
2020-07-20,10
2020-07-21,9
2020-07-22,9
2020-07-23,9
2020-07-24,7
2020-07-25,7
2020-07-26,10
2020-07-27,8
2020-07-28,10
2020-07-29,8
2020-07-30,7
2020-07-31,7
